                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.89258,                  2.519,                 1.6306,                  0.005,                      1,                0.01228,                 0.0112,                0.35112,                 3.0528,                 0.9215,                      0,                      0,                      0
                      2,                0.70446,                 2.1385,                 1.2791,                0.07415,                      1,                 0.4975,                 0.4975,                0.26377,                 2.2192,                0.86816,              1.934e-05,              1.934e-05,              1.934e-05
                      3,                0.60924,                 1.3555,                 1.3093,                0.97261,                      1,                  0.995,                  0.995,                0.19294,                 0.9057,                0.83992,              3.736e-05,              3.736e-05,              3.736e-05
                      4,                0.50297,                0.83864,                 1.1026,                0.94024,                      1,                  0.995,                  0.995,                0.14092,                 1.1827,                  0.829,              5.406e-05,              5.406e-05,              5.406e-05
                      5,                0.35312,                0.91868,                 1.0843,                0.79608,                      1,                  0.995,                  0.995,                0.16289,                 1.2886,                0.83855,              6.944e-05,              6.944e-05,              6.944e-05
                      6,                0.49324,                 1.0572,                 1.2334,                0.82869,                      1,                  0.995,                  0.995,                0.26887,                 1.0521,                0.86731,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                0.51468,                0.76604,                 1.1595,                0.94004,                      1,                  0.995,                0.93989,                0.31885,                0.89335,                0.87588,              9.624e-05,              9.624e-05,              9.624e-05
                      8,                0.44495,                0.79893,                 1.0627,                 0.9447,                      1,                  0.995,                  0.995,                 0.2812,                 0.7911,                 0.8578,             0.00010766,             0.00010766,             0.00010766
                      9,                0.55263,                0.71216,                 1.2317,                0.96111,                      1,                  0.995,                  0.995,                0.26242,                0.88278,                0.85145,             0.00011776,             0.00011776,             0.00011776
                     10,                0.39919,                0.59219,                 1.0391,                0.83147,                      1,                  0.995,                0.93989,                0.31332,                 1.4048,                0.86075,             0.00012654,             0.00012654,             0.00012654
                     11,                0.47882,                0.48291,                 1.0916,                0.73956,                      1,                  0.995,                0.96206,                0.31049,                 1.3098,                0.86733,               0.000134,               0.000134,               0.000134
                     12,                0.46252,                0.52078,                 1.0284,                0.73588,                      1,                  0.995,                  0.995,                0.31314,                  1.093,                0.87533,             0.00014014,             0.00014014,             0.00014014
                     13,                0.48653,                0.63938,                 1.0305,                0.74139,                      1,                  0.995,                  0.995,                0.29769,                0.96719,                0.86458,             0.00014496,             0.00014496,             0.00014496
                     14,                0.63149,                0.72858,                 1.1513,                0.74375,                      1,                  0.995,                  0.995,                0.25781,                0.98524,                0.84644,             0.00014846,             0.00014846,             0.00014846
                     15,                 0.4834,                 0.6069,                  1.035,                0.74699,                      1,                  0.995,                  0.995,                0.21686,                0.96388,                0.83285,             0.00015064,             0.00015064,             0.00015064
                     16,                0.61261,                0.86408,                 1.1213,                0.89134,                      1,                  0.995,                  0.995,                0.20821,                0.83205,                0.83143,              0.0001515,              0.0001515,              0.0001515
                     17,                0.48587,                0.65813,                 1.1601,                0.97406,                      1,                  0.995,                  0.995,                 0.2315,                0.50158,                0.83451,             0.00015104,             0.00015104,             0.00015104
                     18,                0.32744,                0.44697,                0.92726,                0.97406,                      1,                  0.995,                  0.995,                 0.2315,                0.50158,                0.83451,             0.00014926,             0.00014926,             0.00014926
                     19,                0.52552,                0.96306,                 1.1086,                0.95329,                      1,                  0.995,                0.95106,                0.26027,                0.49586,                0.84919,             0.00014616,             0.00014616,             0.00014616
                     20,                0.57773,                0.85983,                 1.2368,                0.95329,                      1,                  0.995,                0.95106,                0.26027,                0.49586,                0.84919,             0.00014174,             0.00014174,             0.00014174
                     21,                0.32293,                0.83906,                0.92555,                0.58269,                      1,                0.64133,                0.60386,                0.28588,                 1.7321,                0.86167,               0.000136,               0.000136,               0.000136
                     22,                0.23008,                0.78434,                0.90608,                0.58269,                      1,                0.64133,                0.60386,                0.28588,                 1.7321,                0.86167,             0.00012894,             0.00012894,             0.00012894
                     23,                0.30566,                0.83539,                0.87692,                0.45331,                      1,                0.74625,                0.70493,                0.27205,                 2.2923,                0.85294,             0.00012056,             0.00012056,             0.00012056
                     24,                0.23095,                0.62314,                0.85888,                0.45331,                      1,                0.74625,                0.70493,                0.27205,                 2.2923,                0.85294,             0.00011086,             0.00011086,             0.00011086
                     25,                0.31594,                0.79512,                0.87538,                0.69381,                      1,                  0.995,                0.93989,                0.23922,                 1.4248,                0.83787,              9.984e-05,              9.984e-05,              9.984e-05
                     26,                0.28301,                 0.5668,                0.93947,                0.69381,                      1,                  0.995,                0.93989,                0.23922,                 1.4248,                0.83787,               8.75e-05,               8.75e-05,               8.75e-05
                     27,                0.23462,                0.53002,                0.81847,                0.73176,                      1,                  0.995,                0.93989,                0.24129,                 1.3569,                0.83648,              7.384e-05,              7.384e-05,              7.384e-05
                     28,                 0.2122,                0.56327,                0.86204,                0.73176,                      1,                  0.995,                0.93989,                0.24129,                 1.3569,                0.83648,              5.886e-05,              5.886e-05,              5.886e-05
                     29,                0.21704,                  0.493,                0.80372,                0.72992,                      1,                  0.995,                0.93989,                0.22777,                 1.3752,                 0.8311,              4.256e-05,              4.256e-05,              4.256e-05
                     30,                0.22801,                0.48931,                0.85463,                0.72992,                      1,                  0.995,                0.93989,                0.22777,                 1.3752,                 0.8311,              2.494e-05,              2.494e-05,              2.494e-05
